cl	ch	pe	sens
19	39	-1.00	-1.00
19	40	26.59	0.70
19	41	1.66	0.70
19	42	-1.00	-1.00
19	43	-1.00	-1.00
19	44	43.53	0.82
19	45	5.27	0.82
19	46	39.29	0.74
19	47	2.69	0.74
19	48	37.43	0.26
19	49	2.06	0.26
19	50	33.64	1.06
19	51	3.47	1.06
19	52	37.41	0.94
19	53	3.20	0.94
19	54	31.49	0.92
19	55	2.35	0.92
19	56	23.01	0.84
19	57	1.96	0.84
19	58	44.89	0.54
19	59	3.25	0.54
20	4	25.85	1.10
20	5	2.20	1.10
20	6	19.22	0.84
20	7	1.48	0.84
20	8	27.54	0.73
20	9	1.80	0.73
20	10	27.95	0.97
20	11	3.24	0.97
20	12	31.55	0.66
20	13	2.54	0.66
20	14	25.66	0.94
20	15	2.43	0.94
20	16	27.73	1.19
20	17	2.94	1.19
20	18	39.68	0.90
20	19	4.03	0.90
20	20	22.59	1.08
20	21	2.26	1.08
20	22	33.47	0.89
20	23	3.21	0.89
20	24	31.75	1.05
20	25	2.83	1.05
20	26	29.49	1.06
20	27	2.68	1.06
20	28	34.75	0.40
20	29	1.55	0.40
20	30	28.05	0.64
20	31	1.95	0.64
20	32	44.54	0.62
20	33	3.45	0.62
20	36	25.51	0.94
20	37	2.93	0.94
20	40	29.25	0.88
20	41	2.39	0.88
20	44	36.96	0.45
20	45	2.22	0.45
20	48	43.40	0.55
20	49	4.11	0.55
20	52	44.65	0.37
20	53	4.18	0.37
20	56	36.88	1.01
20	57	4.30	1.01
21	6	26.70	0.97
21	7	2.17	0.97
21	10	24.48	0.97
21	11	2.52	0.97
21	14	28.13	0.90
21	15	2.21	0.90
21	18	34.85	0.92
21	19	3.48	0.92
21	22	23.20	0.58
21	23	1.36	0.58
21	26	35.69	0.24
21	27	1.23	0.24
21	30	38.55	0.61
21	31	3.45	0.61
21	32	21.54	0.98
21	33	2.17	0.98
21	34	23.17	0.95
21	35	1.99	0.95
21	36	45.50	0.65
21	37	3.45	0.65
21	38	25.75	0.87
21	39	2.24	0.87
21	40	36.70	0.54
21	41	2.53	0.54
21	42	33.62	0.74
21	43	2.48	0.74
21	44	33.00	0.72
21	45	2.48	0.72
21	46	29.90	0.79
21	47	2.26	0.79
21	48	34.76	0.86
21	49	2.72	0.86
21	50	32.02	0.68
21	51	2.64	0.68
21	52	31.55	0.70
21	53	2.22	0.70
21	54	33.74	1.17
21	55	3.81	1.17
21	56	30.53	0.63
21	57	2.45	0.63
21	58	37.65	0.42
21	59	2.27	0.42
22	6	35.68	0.79
22	7	3.66	0.79
22	10	21.73	0.85
22	11	1.89	0.85
22	14	24.07	0.89
22	15	2.42	0.89
22	18	26.53	0.99
22	19	2.35	0.99
22	22	21.78	0.88
22	23	1.83	0.88
22	26	33.79	0.85
